# source: https://assets.lulu.com/media/specs/lulu-print-api-spec-sheet.xlsx
# fetched: 2026-09-03
# products: 3277
legacy_sku,sku,book_type,min_page,max_page,trim_width_in,trim_height_in,trim_width_mm,trim_height_mm,bleed_width_in,bleed_height_in,bleed_width_mm,bleed_height_mm,interior_color,print_quality,bind,interior_number,paper_type,interior_ppi,lamination,linen_color,foil_color
0425X0687BWSTDCO060UC444GXX,0425X0687.BW.STD.CO.060UC444.GXX,Pocketbook,2.0,470.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Black & White,Standard,Coil,60.0,60# Uncoated Cream,444.0,Gloss,X,X
0425X0687BWSTDCO060UC444MXX,0425X0687.BW.STD.CO.060UC444.MXX,Pocketbook,2.0,470.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Black & White,Standard,Coil,60.0,60# Uncoated Cream,444.0,Matte,X,X
0425X0687BWSTDCO060UW444GXX,0425X0687.BW.STD.CO.060UW444.GXX,Pocketbook,2.0,470.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Black & White,Standard,Coil,60.0,60# Uncoated White,444.0,Gloss,X,X
0425X0687BWSTDCO060UW444MXX,0425X0687.BW.STD.CO.060UW444.MXX,Pocketbook,2.0,470.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Black & White,Standard,Coil,60.0,60# Uncoated White,444.0,Matte,X,X
0425X0687BWSTDCO080CW444GXX,0425X0687.BW.STD.CO.080CW444.GXX,Pocketbook,2.0,470.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Black & White,Standard,Coil,80.0,80# Coated White,444.0,Gloss,X,X
0425X0687BWSTDCO080CW444MXX,0425X0687.BW.STD.CO.080CW444.MXX,Pocketbook,2.0,470.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Black & White,Standard,Coil,80.0,80# Coated White,444.0,Matte,X,X
0425X0687BWSTDCW060UC444GXX,0425X0687.BW.STD.CW.060UC444.GXX,Pocketbook,24.0,800.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Black & White,Standard,Case Wrap,60.0,60# Uncoated Cream,444.0,Gloss,X,X
0425X0687BWSTDCW060UC444MXX,0425X0687.BW.STD.CW.060UC444.MXX,Pocketbook,24.0,800.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Black & White,Standard,Case Wrap,60.0,60# Uncoated Cream,444.0,Matte,X,X
0425X0687BWSTDCW060UW444GXX,0425X0687.BW.STD.CW.060UW444.GXX,Pocketbook,24.0,800.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Black & White,Standard,Case Wrap,60.0,60# Uncoated White,444.0,Gloss,X,X
0425X0687BWSTDCW060UW444MXX,0425X0687.BW.STD.CW.060UW444.MXX,Pocketbook,24.0,800.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Black & White,Standard,Case Wrap,60.0,60# Uncoated White,444.0,Matte,X,X
0425X0687BWSTDCW080CW444GXX,0425X0687.BW.STD.CW.080CW444.GXX,Pocketbook,24.0,800.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Black & White,Standard,Case Wrap,80.0,80# Coated White,444.0,Gloss,X,X
0425X0687BWSTDCW080CW444MXX,0425X0687.BW.STD.CW.080CW444.MXX,Pocketbook,24.0,800.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Black & White,Standard,Case Wrap,80.0,80# Coated White,444.0,Matte,X,X
0425X0687BWSTDPB060UC444GXX,0425X0687.BW.STD.PB.060UC444.GXX,Pocketbook,32.0,800.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Black & White,Standard,Perfect,60.0,60# Uncoated Cream,444.0,Gloss,X,X
0425X0687BWSTDPB060UC444MXX,0425X0687.BW.STD.PB.060UC444.MXX,Pocketbook,32.0,800.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Black & White,Standard,Perfect,60.0,60# Uncoated Cream,444.0,Matte,X,X
0425X0687BWSTDPB060UW444GXX,0425X0687.BW.STD.PB.060UW444.GXX,Pocketbook,32.0,800.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Black & White,Standard,Perfect,60.0,60# Uncoated White,444.0,Gloss,X,X
0425X0687BWSTDPB060UW444MXX,0425X0687.BW.STD.PB.060UW444.MXX,Pocketbook,32.0,800.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Black & White,Standard,Perfect,60.0,60# Uncoated White,444.0,Matte,X,X
0425X0687BWSTDPB080CW444GXX,0425X0687.BW.STD.PB.080CW444.GXX,Pocketbook,32.0,800.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Black & White,Standard,Perfect,80.0,80# Coated White,444.0,Gloss,X,X
0425X0687BWSTDPB080CW444MXX,0425X0687.BW.STD.PB.080CW444.MXX,Pocketbook,32.0,800.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Black & White,Standard,Perfect,80.0,80# Coated White,444.0,Matte,X,X
